Year,Course,CourseName,ShnatonId,Semester,TestDates
2026,57667,כלכלת אינפורמציה,10963,SemB,[]
2026,57687,כלכלת הדיור למוסמך,462754,False,[]
2026,57705,נושאים במדיניות פיסקלית,7088,SemB,"['2026-07-22T09:00:00', '2026-08-09T09:00:00']"
2026,57705,נושאים במדיניות פיסקלית,7088,SemB,"['2026-07-22T09:00:00', '2026-08-09T09:00:00']"
2026,57717,צמיחה כלכלית,459798,False,[]
2026,57735,כלכלת עבודה מבנית,11492,SemA,[]
2026,57736,נושאים בכלכלה פוליטית,7298,False,[]
2026,57747,סדנה בארגון תעשייתי ,56001,SemB,[]
2026,57777,כלכלה התנהגותית וניסויית למוסמך,19185,SemB,[]
2026,57806,מימון בינלאומי למוסמך,472973,False,[]
2026,57807,כלכלה פוליטית,11389,SemA,"['2026-02-06T09:00:00', '2026-05-01T09:00:00']"
2026,57811,כלכלת הגירה,465492,False,[]
2026,57836,סדנה בכלכלה התנהגותית,7912,False,[]
2026,57836,סדנה בכלכלה התנהגותית,7912,False,[]
2026,57893,הגורמים וההשלכות של אי-שוויון בהכנסה,26151,SemA,[]
2026,57893,הגורמים וההשלכות של אי-שוויון בהכנסה,26151,SemA,[]
2026,57895,מבנה שווקים למוסמך (ג'):  פירמה ושוק,465863,False,[]
2026,58474,עלייתן ונפילתן של הציווילזציות הגדולות,3808,SemB,"['2026-07-19T09:00:00', '2026-08-20T09:00:00']"
2026,59642,מדיניות כלכלית בישראל: הלכה למעשה?,20475,SemB,[]
2026,59823,הובלת מדיניות- הלכה למעשה,16841,SemA,[]
2026,6126,תכנות מונחה עצמים למדעי הקוגניציה,457547,False,[]
2026,6126,תכנות מונחה עצמים למדעי הקוגניציה,457547,False,[]
2026,6126,תכנות מונחה עצמים למדעי הקוגניציה,457547,False,[]
2026,6126,תכנות מונחה עצמים למדעי הקוגניציה,457547,False,[]
2026,6126,תכנות מונחה עצמים למדעי הקוגניציה,457547,False,[]
2026,62351,בין חרדיות לישראליות,459388,False,[]
2026,62424,שואה ומשפט,2128,SemB,"['2026-07-28T14:30:00', '2026-08-16T14:30:00']"
2026,62822,משפט וחברה,19671,SemA,"['2026-01-27T09:00:00', '2026-02-23T14:30:00']"
2026,67101,מבוא למדעי המחשב ,11615,SemAB,"['2026-07-03T09:00:00', '2026-08-04T09:00:00', '2026-01-26T09:00:00', '2026-02-22T09:00:00']"
